ID,desired,softmax,DiffShort,DiffLong,DiffAll,DirShort,DirLong,DirAll,feCheater00,feBiasP01,feBiasN02,feBiasZ03,feRepeatL04,fe3DiffMean05,feRandom06,X00_00,X01_01,X02_02,X03_03,X04_04,X05_05,X06_06,X07_04,X08_06,X09_05,X10_06,X11_04,X12_05,N00,N01,N02,N03,N04,Y00_00,Y01_01,Y02_02,Y03_03,Y04_04,reserve
564,0.70557433,-0.00550567,-0.01567602,-0.00447923,-0.00316018,-0.10662577,0.02274263,-0.04317844,0.70557433,0.5,-0.5,0,-0.82449424,-1.34313858,0.36395264,0.001,0.26755878,0.16705005,0.001,0.001,0.10037272,0.25353146,0.001,0.25353146,0.10037272,0.25353146,0.001,0.10037272,0.00850397,0.11483634,-0.05135393,-0.00104711,-0.16723737,0.001,0.15627696,0.10713216,0.001,0.10037272,0
563,-0.47230449,-0.05311614,-0.01192898,-0.00428879,-0.00315513,-0.03746165,0.02656004,-0.04306778,-0.47230449,0.5,-0.5,0,0.70557433,-0.75065702,-0.17987061,0.001,0.25753203,0.17703335,0.001,0.001,0.11036268,0.26350608,0.001,0.26350608,0.11036268,0.26350608,0.001,0.11036268,-0.11459256,-0.05911878,-0.16428016,0.00089608,-0.1042653,0.011,0.16626133,0.11712144,0.001,0.11036268,0
562,-0.77222449,0.06307726,-0.01617157,-0.00458378,-0.00316326,-0.0976203,0.02255004,-0.04316928,-0.77222449,0.5,-0.5,0,-0.47230449,-0.59122443,0.89282227,0.001,0.24750628,0.18701565,0.001,0.011,0.12035163,0.25347975,0.011,0.25347975,0.12035163,0.25347975,0.011,0.12035163,0.21020657,0.26329908,0.18013301,-0.00659786,-0.0897639,0.001,0.1562447,0.10710974,0.011,0.12035163,0
561,0.44371864,-0.05860081,-0.01950014,-0.0048371,-0.00317031,-0.15401903,0.01855571,-0.04327076,0.44371864,0.5,-0.5,0,-0.77222449,-0.53895468,-0.40759277,0.001,0.25748152,0.17699695,0.001,0.001,0.1103396,0.24345438,0.001,0.24345438,0.1103396,0.24345438,0.001,0.1103396,-0.15177405,-0.12538663,-0.19957718,-0.00098072,-0.07517128,0.001,0.14622906,0.09709903,0.001,0.1103396,0
560,-0.79058659,-0.03431387,-0.01655889,-0.00471056,-0.00316705,-0.08189283,0.02238948,-0.04316013,-0.79058659,0.5,-0.5,0,0.44371864,-0.80081034,0.01739502,0.001,0.24745576,0.18697925,0.001,0.001,0.12032856,0.23343003,0.001,0.23343003,0.12032856,0.23343003,0.001,0.12032856,-0.07851168,0.00572027,-0.11573871,0.00056352,-0.12089546,0.011,0.13621444,0.10708932,0.001,0.12032856,0
559,0.789276,-0.09242134,-0.02247727,-0.00512671,-0.00317851,-0.13927454,0.01839577,-0.04326158,0.789276,0.5,-0.5,0,-0.79058659,-1.11909246,-0.65808105,0.001,0.257431,0.17696054,0.001,0.001,0.11031654,0.22340667,0.001,0.22340667,0.11031654,0.22340667,0.001,0.11031654,-0.28753746,-0.18260098,-0.33530962,-0.00100404,-0.15371267,0.001,0.12620081,0.09707861,0.001,0.11031654,0
558,-0.1496236,0.01766333,-0.02239728,-0.00518948,-0.00318043,-0.19306988,0.01441766,-0.04336302,-0.1496236,0.5,-0.5,0,0.789276,0.44240806,0.05718994,0.001,0.24740525,0.18694285,0.001,0.001,0.10030551,0.21338432,0.001,0.21338432,0.10030551,0.21338432,0.001,0.10030551,0.10936348,0.01649767,0.07170548,0.00100238,0.05621019,0.001,0.11618819,0.0870689,0.001,0.10030551,0
557,0.87112647,-0.04018711,-0.02393359,-0.00535274,-0.00318509,-0.243503,0.01045509,-0.04346443,0.87112647,0.5,-0.5,0,-0.1496236,-0.15093422,-0.61706543,0.001,0.25738049,0.17692414,0.001,0.001,0.09029547,0.20336297,0.001,0.20336297,0.09029547,0.20336297,0.001,0.09029547,-0.12487057,-0.15633497,-0.17344908,-0.00019002,-0.01730414,0.001,0.10617657,0.07706019,0.001,0.09029547,0
556,0.51722044,0.01268392,-0.02246988,-0.00533378,-0.0031848,-0.29078406,0.006508,-0.04356582,0.51722044,0.5,-0.5,0,0.87112647,1.5107789,-0.62335205,0.001,0.26735473,0.16690643,0.001,0.011,0.10028644,0.19334263,0.011,0.19334263,0.10028644,0.19334263,0.011,0.10028644,0.10967867,-0.13802782,0.03663772,0.01216815,0.18683369,0.011,0.09616596,0.08705249,0.011,0.10028644,0
555,0.49870482,0.0129672,-0.02100819,-0.00530934,-0.00318436,-0.21011007,0.01038883,-0.04345522,0.49870482,0.5,-0.5,0,0.51722044,1.23872328,-0.67462158,0.001,0.27732798,0.15688974,0.001,0.0209989,0.11027641,0.18332328,0.0209989,0.18332328,0.11027641,0.18332328,0.0209989,0.11027641,0.10213441,-0.14018393,0.01537642,0.01379138,0.16935173,0.0209989,0.08615634,0.07704378,0.0209989,0.11027641,0
554,-0.5289613,0.00986431,-0.02132189,-0.00539029,-0.00318676,-0.25947818,0.006442,-0.04355659,-0.5289613,0.5,-0.5,0,0.49870482,1.88705182,-0.83856201,0.001,0.26730025,0.16687405,0.001,0.0109968,0.10026538,0.19330496,0.0109968,0.19330496,0.10026538,0.19330496,0.0109968,0.10026538,0.09846625,-0.19211102,0.03064111,0.0069646,0.22971672,0.0109968,0.09614772,0.06703608,0.0109968,0.10026538,0
553,-0.47904301,-0.04031333,-0.01818871,-0.00525665,-0.00318337,-0.1807608,0.01032308,-0.04344601,-0.47904301,0.5,-0.5,0,-0.5289613,0.48696396,-0.80859375,0.001,0.25727352,0.17685737,0.001,0.0209957,0.09025536,0.20328563,0.0209957,0.20328563,0.09025536,0.20328563,0.0209957,0.09025536,-0.11137065,-0.21579139,-0.14601439,-0.01410219,0.0556748,0.0209957,0.1061381,0.07702937,0.0209957,0.09025536,0
552,0.11309273,-0.02504148,-0.01910633,-0.00536454,-0.00318653,-0.23196325,0.00637651,-0.04354736,0.11309273,0.5,-0.5,0,-0.47904301,-0.50929952,-0.2677002,0.001,0.2672478,0.16683967,0.001,0.0109936,0.08024633,0.1932653,0.0109936,0.1932653,0.08024633,0.1932653,0.0109936,0.08024633,-0.06309962,-0.07216127,-0.11726221,-0.00668809,-0.05178903,0.0109936,0.09612748,0.06702167,0.0109936,0.08024633,0
551,0,-0.03423848,-0.02071679,-0.00551891,-0.00319095,-0.27996555,0.00244535,-0.04364869,0,0.5,-0.5,0,0.11309273,-0.89491159,-0.51818848,0.001,0.27722105,0.15682298,0.001,0.0209925,0.07023831,0.18324597,0.0209925,0.18324597,0.07023831,0.18324597,0.0209925,0.07023831,-0.12262672,-0.11615976,-0.19858673,0.00301508,-0.07941189,0.001,0.08611787,0.05701496,0.0209925,0.07023831,0
550,-0.16159192,-0.04256609,-0.01732886,-0.0053665,-0.00318707,-0.19996771,0.00634205,-0.04353813,-0.16159192,0.5,-0.5,0,0,-0.36595029,-0.67718506,0.001,0.26719335,0.16680729,0.001,0.0209904,0.08023128,0.19322765,0.0209904,0.19322765,0.08023128,0.19322765,0.0209904,0.08023128,-0.13894235,-0.1625355,-0.19978076,0,-0.03724527,0.011,0.09610926,0.06700926,0.0209904,0.08023128,0
